Area,diameter,perimeter,circularity,homogeneity,compactness,homogeneity,3d bounding box dim rate,compactness2,clbp mean,euler point,x-y projection compactness,min value inside,DC constant,energy,skew inside,kurtosis inside,moment 2,MIP,moment 5,moment 6,moment 7,x-y plane bb rate,T
21.9375,10.5,23.19954824,0.512198075,140.4,1.35465547,1,0.619047619,4.460995156,13.78333333,-1,0.635988817,11.80916214,1.006597757,2.355609179,-0.161016822,2.754987001,216.6414032,190.9895477,41374.44531,8963652,14870.15625,11.57765198,NON-CANCEROUS
11.25,9.75,12.3108187,0.932799952,78.24375,1.422567011,0.846153846,0.666666667,2.552273525,9.166666667,1,0.369703962,11.80916214,1.006544352,3.398943186,-0.188593701,1.740233183,217.2703247,307.04422,66711.64063,14494843,6255.993652,11.63552952,NON-CANCEROUS
16.875,17.25,15.57151733,0.874564367,197.4375,1.332399712,0.956521739,0.67826087,4.439812694,15.9,1,0.34047407,12.02137947,1.006741405,2.507442474,-0.13461417,1.798081756,380.8110046,231.6774139,88224.74219,33597136,12976.87207,11.69340706,NON-CANCEROUS
11.25,14.25,13.73290788,0.749613455,91.40625,1.491510405,0.526315789,0.526315789,3.518348554,11.46666667,2,0.398819367,11.78986931,1.00719583,2.774778843,0.118211657,1.613576889,323.2289734,343.40979,110999.625,35878584,5361.458008,11.78986931,NON-CANCEROUS
13.5,26.25,16.92214292,0.59242437,171.84375,1.648829538,0.285714286,0.285714286,7.115307783,20.31666667,2,0.252119302,12.05996513,1.007280231,3.091878891,0.873710811,2.869245052,180.2871704,208.7531433,37636.05859,6785612,6923.182617,11.63552952,NON-CANCEROUS
25.875,27.75,22.43797127,0.645837186,297.61875,1.717362288,0.297297297,0.297297297,5.533851054,20.13333333,1,0.29733799,12.13713455,1.006562471,2.888014317,0.189325154,2.338943243,194.0330963,224.1309814,43489.37109,8438836,29796.98633,11.63552952,NON-CANCEROUS
13.5,12,15.15499705,0.738638465,222.3,1.54774662,0.5625,0.370879121,7.113405493,22.11666667,5,0.311854305,13.39572048,1.005744576,3.808730125,0.550852537,2.293040276,184.4220276,300.2541504,55373.08594,10212574,9061.827148,12.05095673,NON-CANCEROUS
20.8125,11.25,25.45467796,0.403644372,92.86875,1.873734059,0.533333333,0.462222222,4.817845409,12.48333333,-2,0.393013463,12.88899803,1.006059408,3.018024445,0.297030985,2.203266859,220.5238647,330.3870239,72858.72656,16068675,18398.73828,12.24584961,NON-CANCEROUS
14.0625,9.75,19.17727264,0.480505888,273.4875,1.516522359,0.923076923,0.494505495,7.066476779,23.55,4,0.398198167,12.16789246,1.0054003,5.703241348,1.134746194,4.221792698,336.4894409,306.0623169,102987.3203,34654724,9742.003906,12.12891388,NON-CANCEROUS
21.9375,9.75,17.58265512,0.891719128,117,1.718852417,0.692307692,0.533333333,2.447452369,9.233333333,2,0.522167957,12.57716846,1.005705118,3.099700928,0.290989965,2.5322752,193.1240082,313.6311646,60569.50781,11698239,24838.20313,12.12891388,NON-CANCEROUS
12.375,7.5,18.76075237,0.441829358,106.7625,1.200690228,1,0.961538462,5.52060569,14.28333333,2,0.488189598,12.10942459,1.006098866,4.471917152,0.724073052,2.295683146,312.7311707,293.7850647,91875.85156,28732960,5435.781738,12.10942459,NON-CANCEROUS
11.25,12,15.81550926,0.565192025,97.25625,1.871502583,0.4375,0.4375,4.237469456,13.28333333,3,0.38566565,12.22636032,0.872572362,4.35894537,0.046726931,2.096831083,308.9831848,306.1580505,94597.88281,29229542,7070.379395,12.16789246,NON-CANCEROUS
14.625,11.25,25.03815768,0.293157493,69.46875,1.39914574,0.866666667,0.577777778,4.721511177,11.6,1,0.300936307,13.16184807,1.006258845,2.490246296,0.467664629,2.804514408,350.407196,316.2698364,110823.1328,38833564,7602.320313,12.44074345,NON-CANCEROUS
14.0625,19.5,20.42683347,0.423516469,114.075,1.777025348,0.461538462,0.461538462,8.490072325,20.38333333,3,0.23940629,12.44074345,1.006684422,2.697776079,0.927796364,2.833581924,366.0327148,288.117981,105461.4375,38603972,6742.070801,12.07044601,NON-CANCEROUS
26.4375,16.5,28.98896969,0.395334475,127.2375,1.540480154,0.818181818,0.315151515,6.745265757,20.13333333,3,0.262673944,14.39410877,1.004978299,3.000297785,0.704146445,2.697680473,356.9921265,229.9330902,82084.92969,29304646,30589.89844,14.11235332,NON-CANCEROUS
11.25,9.75,14.9824687,0.629789808,43.875,1.778789407,0.307692308,0.307692308,1.72513217,5.55,1,0.614417914,15.54461098,1.004612327,3.705791473,0.320859551,1.668031216,199.0394287,329.6364441,65611.00781,13059401,7174.878418,14.0653944,NON-CANCEROUS
12.375,12,15.15499705,0.67708526,92.1375,1.546829886,0.5625,0.5625,2.991681599,10.28333333,1,0.423952782,9.883306503,1.009312034,2.522067547,-0.05309467,1.661715627,304.6401978,220.164917,67070.47656,20432480,4806.480469,9.717243195,NON-CANCEROUS
15.1875,20.25,13.73290788,1.011978164,310.78125,1.297819839,0.814814815,0.814814815,5.87211806,21.93333333,1,0.280135272,10.49774075,1.008840322,2.546308517,-0.240224615,1.587382913,202.9692841,374.9779358,76108.64844,15448194,9703.669922,9.63421154,NON-CANCEROUS
11.8125,15.75,12.13829036,1.007480483,194.5125,1.638630945,0.666666667,0.495238095,5.061709577,19.1,1,0.247409238,9.933125496,0.87756449,2.477172375,0.063954167,1.579034448,196.3491211,268.3456726,52689.59375,10345816,5650.914551,9.717243195,NON-CANCEROUS
15.1875,12.75,16.16056595,0.730773892,116.26875,1.790088585,0.470588235,0.470588235,3.073732392,10.6,1,0.478413093,9.750455856,1.009701967,2.247244596,0.066110149,1.743093967,217.0967407,365.833252,79420.5625,17242692,8549.349609,9.750455856,NON-CANCEROUS
12.375,14.25,13.73290788,0.8245748,111.15,1.507501223,0.789473684,0.638596491,3.832397365,12.28333333,1,0.351916981,10.03276348,1.009706616,2.26255393,0.323491633,2.306101799,184.7410126,380.9919434,70384.17188,13003245,5149.803223,9.667424202,NON-CANCEROUS
19.6875,8.25,22.61049961,0.483927294,46.8,1.531763724,0.818181818,0.315151515,1.699694355,6.116666667,1,0.537149935,7.937650681,0.996488571,1.827468157,0.763142645,2.777466059,362.3182068,201.6995544,73077.05469,26476656,6841.745605,7.937650681,NON-CANCEROUS
