"UsageDate","CostUSD","Cost","Currency"
"2023-05-26","0.000012539128851","0.00102534024","INR"
"2023-05-27","0.000012923295658","0.00105675404","INR"
"2023-05-28","0.000012539128851","0.00102534024","INR"
"2023-05-29","0.000012539128851","0.00102534024","INR"
"2023-05-30","0.000012539128851","0.00102534024","INR"
"2023-05-31","0.000013643608481","0.00111565492","INR"
"2023-06-01","0.000012539128851","0.00102534024","INR"
"2023-06-02","0.000012539128851","0.00102534024","INR"
"2023-06-03","0.000012923295658","0.00105675404","INR"
"2023-06-04","0.000011847628697","0.000968795408","INR"
"2023-06-05","0.000011501878619","0.000940522992","INR"
"2023-06-06","2.202825285592906","180.12777713453343","INR"
"2023-06-07","5.498081931764976","449.5850321628236","INR"
"2023-06-08","5.494886824297843","449.3237642313516","INR"
"2023-06-09","5.493969557244659","449.2487581578292","INR"
"2023-06-10","5.4941615817594815","449.26446024243677","INR"
"2023-06-11","5.4939790411869","449.249533671641","INR"
"2023-06-12","5.4935237756092175","449.21230603627197","INR"
"2023-06-13","5.4954041780835405","449.36606889710043","INR"
"2023-06-14","5.510016485125218","450.56093550928216","INR"
"2023-06-15","5.4976190561867435","449.547182248197","INR"
"2023-06-16","5.497161458267325","449.5097638943287","INR"
"2023-06-17","5.496956402443463","449.4929962232918","INR"
"2023-06-18","5.496863833737992","449.48542676453434","INR"
"2023-06-19","5.498722427049686","449.6374062628734","INR"
"2023-06-20","5.508643417699265","450.44865806952765","INR"
"2023-06-21","5.498574702967431","449.6253266800121","INR"
"2023-06-22","5.499682401674176","449.71590458788614","INR"
"2023-06-23","5.503151895265623","449.9996094157259","INR"
"2023-06-24","5.507057653454666","450.31898814504166","INR"
"2023-06-25","4.845005487007345","396.1821549294378","INR"
